animeId,annid,animeName,songId,songName,songArtist,songType,songsNumber,songDifficulty
3856,,Hayate no Gotoku! Cuties,8147,Walkin',Mikako Takahashi,2,,
678,,AWOL,8148,DON'T ASK ME WHY,ZEPPET STORE,2,,
11338,,Zombie Land Saga Revenge,8149,"Yume o Te ni, Modoreru Basho mo Nai Hibi o",FranChouChou,2,,
10452,,Tsubasa RESERVoir CHRoNiCLE,8150,You Are My Love,Yui Makino,3,,
6313,,Meitantei Conan: 11-ninme no Striker,8151,Haru Uta,Ikimono-gakari,2,,
4864,,Katekyo Hitman Reborn!,8152,Drawing days,SPLAY,1,,
891,,Beast Saga,8153,Wake me up!,Takayoshi Tanimoto,2,,
5356,,Kouya no Shounen Isamu,8154,Kouya no Shounen Isamu,Vocal Shop,1,,
5002,,Kidou Senshi Gundam Unicorn RE:0096,8155,RE:I AM,Aimer,1,,
777,,Bakusou Kyoudai Let's & Go!! Max,8156,Brave Heart,Koutetsu Kyoudai,1,,
4116,,Horimiya,8157,Yakusoku,Friends,2,,
4167,,Hugtto! Precure,8158,"Mou Ichido, Ano Sora no Saki e",Yui Ogura,3,,
6004,,Mahou Shoujo Pretty Sammy,8159,magical blue,Chisa Yokoyama,3,,
4919,,Kenja no Mago,8160,Ultimate☆MAGIC,i☆Ris,1,,
4591,,Jouran: The Princess of Snow and Blood,8161,EXIST,RAISE A SUILEN,1,,
203,,Ahiru no Sora,8162,Over,Yuuma Uchida,2,,
11359,,Seaside-sou no Aquakko,8163,CANDY☆DROP,GuilDrops,2,,
1615,,Code Geass: Fukkatsu no Lelouch,8164,Revive,UNIONE,2,,
4364,,Initial D,8165,BACK ON THE ROCKS,MEGA NRG MAN,3,,
9470,,Super Robot Taisen Original Generation: The Animation,8166,Name of the Truth,JAM Project feat. Rica Matsumoto/Hiroshi Kitadani,2,,
916,,Bermuda Triangle: Colorful Pastrale,8167,Shabon -Serena ver.-,Hikaru Toono,2,,
8215,,Rosario to Vampire,8168,Magical Romance,Kimiko Koyama,3,,
1668,,Cookin' Idol Ai! Mai! Main!,8169,Main no Fruit Symphony,Haruka Fukuhara,3,,
796,,BanG Dream! 2nd Season,8170,Yura Yura Ring-Dong-Dance,Pastel*Palettes,3,,
4367,,Initial D: Battle Stage 3,8171,LASER GUN,JUNGLE BILL,3,,
10235,,To Heart 2 adplus,8172,Niji no Kakehashi Samba Kibun de Woo! Ver.,Ryouko Ono & Ema Kogure,3,,
2190,,"Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi",8173,Laughing Under the Clouds,Future Sunsets,2,,
11015,,"Yakeato no, Okashi no Ki",8174,Omoide no Album,Rena Takahashi,2,,
1113,,Boku no Hero Academia The Movie: Futari no Hero,8175,Here,Yuly,3,,
6872,,Naruto Shippuuden,8176,Blood Circulator,ASIAN KUNG-FU GENERATION,1,,
8990,,Shugo Chara!! Doki,8177,Shugo! Shugo!,Shugo Chara Egg!,1,,
322,,Alice or Alice,8178,A or A!?,petit milady,1,,
8953,,Shoujo☆Kageki Revue Starlight,8179,Fly Me to the Star,Suzuko Mimori,2,,
5774,,Lupin Sansei: Goodbye Partner,8180,Kalanchoe Forever!,Yuji Ohno & Lupintic Six with Friends feat. Miyuki Sawashiro,2,,
9674,,Tegami Bachi: Reverse,8181,Chiisana Mahou,Stereopony,1,,
7719,,Pocket Monsters Diamond & Pearl,8182,Together2008,Fumie Akiyoshi,1,,
2682,,Fairy Tail,8183,S.O.W. Sense of Wonder,Idoling!!!,1,,
643,,Astroganger,8184,Susume! Astroganger,Columbia Yurikago-kai,2,,
9147,,Soreike! Anpanman: Inochi no Hoshi no Dolly,8185,"Cantata ""Anpanman no March"" ~Hisou na Tatakai~","Yasutaka Anzai, Takahiro Nagai, Atsushi Tooyama, Isamu Ishizuka",3,,
10105,,The SoulTaker,8186,SOULTAKER,JAM Project,1,,
7813,,Pop in Q,8187,Sayonara. Arigatou.,"Tomoyo Kurosawa, Ari Ozawa, Atsumi Tanezaki, Shiori Izawa, Asami Seto",2,,
682,,Ayakashi: Samurai Horror Tales,8188,Haru no Katami,Chitose Hajime,2,,
7028,,Nine: Kanketsu-hen,8189,8-gatsu no Yukue,Hiroaki Serizawa,3,,
11044,,Yami to Boushi to Hon no Tabibito,8190,Eien no Inori o Sasagete,Sanae Kobayashi,2,,
1383,,Chäos;Child,8191,Find the blue,Kanako Itou,2,,
6896,,Natsu no Arashi! Season 2,8192,Computer Obaa-chan,Ai Nonaka,3,,
8979,,Show By Rock!! Stars!!,8193,Idou Shudan wa Bike Desu,DOKONJOFINGER,3,,
7876,,PriPara Mi~nna no Akogare♪ Let's Go☆PriPari,8194,Kono Uta to Marei Hi feat. Ajimi,Azusa Satou & Reina Ueda,3,,
3593,,Gunparade March: Aratanaru Kougunka,8195,Shinjitsu no Tobira,Yoko Ishida,1,,
3469,,Gongitsune,8196,Kokoro kara Yesterday,Yuki Katsuragi,2,,
3594,,Gunparade Orchestra,8197,Faze to love,Miyuki Hashimoto,1,,
8153,,Rinshi!! Ekoda-chan,8198,Ganbarimasengen,Gero,2,,
1842,,Danchi Tomoo,8199,Danchi de DAN! RAN!,Dohatsuten feat. Kiyosaku (MONGOL800),1,,
7687,,planetarian: Chiisana Hoshi no Yume,8200,Hoshi Meguri no Uta,MELL,2,,
7252,,"Omoi, Omoware, Furi, Furare",8201,Gravity,BUMP OF CHICKEN,2,,
4340,,Inazuma Eleven GO: Chrono Stone,8202,Seishun Oden,"Sayaka Kitahara, Mina, Yurin, Aoi Yuuki",2,,
2465,,DYNAMIC CHORD,8203,p.s.i hate you♡xxx,[rêve parfait],1,,
8755,,Shiawase Sou no Okojo-san,8204,Ano Ko no Happy Face,Shiawase Sisters,1,,
5018,,Kidou Senshi SD Gundam Mk V,8205,Maboroshi no Barubadore,Satoko Shimizu,3,,
11633,,Eiga Yuru Camp△,8206,Mimosa,Eri Sasaki,2,,
7190,,Odd Taxi,8207,ODDTAXI,Skirt to PUNPEE,1,,
1313,,Cardfight!! Vanguard G,8208,NEXT PHASE,Emi Nitta,2,,
5373,,Kumichou Musume to Sewagakari,8209,Kaerimichi no Iro,Shibuya HAL,2,,
2718,,Fate/kaleid liner Prisma☆Illya,8210,Prism Sympathy,StylipS,3,,
10367,,Tottoko Hamtarou Anime Dechu!,8211,Hamtarou Tottoko Uta,Juri Ihata,1,,
5234,,Koi wa Sekai Seifuku no Ato de,8212,Koi wa Explosion,Masayoshi Ooishi (feat. Yukari Tamura),1,,
2845,,Fresh Precure!,8213,Let's! Fresh Precure!,Mizuki Moie,1,,
6703,,Mugyutto! Black Clover,8214,POSSIBLE,Clover×Clover,1,,
7866,,Princess Nine: Kisaragi Joshikou Yakyuu-bu,8215,Izumi...... Spring rainy day,Mami Kingetsu,3,,
2903,,Fushigi no Umi no Nadia,8216,Blue Water,Miho Morikawa,1,,
3900,,Hell Target,8217,Saraba Itoshiki Hito yo ~Adios Amor~,Rosa Bianca,2,,
5592,,Little Busters!,8218,Alicemagic ~TV animation ver.~,Rita,2,,
11170,,Yozakura Quartet,8219,JUST TUNE,savage genius,1,,
2232,,Doraemon: Nobita no Parallel Saiyuuki,8220,Kimi ga Iru kara,Mitsuko Horie & Koorogi '73,2,,
7142,,Nurarihyon no Mago,8221,Brilliant☆Message,Katate☆SIZE,2,,
10810,,"Wake Up, Girls! Seishun no Kage",8222,Unmei no Megami,I-1 club Team.S,3,,
2591,,Emiya-san Chi no Kyou no Gohan,8223,Collage,Sangatsu no Phantasia,2,,
10968,,World Witches Series: Dai 502 Tougou Sentou Koukuu-dan Brave Witches,8224,LITTLE WING ~Spirit of LINDBERG~,"Ai Kakuma, Rie Suegara, Rie Murakawa, Natsumi Takamori, Kayo Ishida, Yumi Hara, Haruka Terui, Marin Mizutani, Hiromi Igarashi, Rina Satou",2,,
831,,Barom One,8225,Ki・Mi・Da・Ke,DASEIN,1,,
4268,,Idol Tenshi Youkoso Youko,8226,Kimi wa Original,Mika Kanai,3,,
9512,,Sword Art Online: Alicization,8227,Niji no Kanata ni,ReoNa,3,,
300,,Akuma no Riddle,8228,Survival,Yoshino Nanjo,2,,
3091,,Gatchaman,8229,Taose! Galactor,Columbia Yurikago-kai,2,,
8523,,School Days,8230,Look at me,YURIA,2,,
9189,,Soul Buster: Shouseiran,8231,SOUL BUSTER,Ayane,1,,
8659,,Senki Zesshou Symphogear G,8232,Waikyou - Shenshoujin,Yuka Iguchi,3,,
10900,,White Album 2,8233,Todokanai Koi '13,Rena Uehara,1,,
4499,,Jahy-sama wa Kujikenai!,8234,Seikatsu Konkyuu Dame Dinero,Sumire Uesaka,1,,
3300,,"Ginga Hyouryuu Vifam: ""Kate no Kioku"" Namida no Dakkai Sakusen!!",8235,Tsubasa,Hakuchouza,1,,
11256,,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,8236,Sakiwafu Hana,Suzuko Mimori,1,,
3188,,Gekkan Shoujo Nozaki-kun,8237,Kimi ja Nakya Dame Mitai,Masayoshi Ooishi,1,,
5845,,Macross Frontier: Itsuwari no Utahime,8238,Kaitaku Juuki,Megumi Nakajima,3,,
9624,,Tanoshii Moomin Ikka: Bouken Nikki,8239,Itsuka Suteki na Tabi,Emiko Shiratori,2,,
5213,,Kodai Ouja Kyouryuu King D-Kids Adventure,8240,Kyouryuu Muscle,Hiromichi Sato,2,,
10231,,To Heart,8241,DREAM IT ~Anata ni Meguriaitai~,Ayako Kawasumi,3,,
8892,,Shinpi no Sekai El Hazard 2,8242,El Hazard 2 no Theme,Maria Kawamura,1,,
8626,,selector infected WIXOSS,8243,realize -Yume no Matsu Basho-,Cyua,2,,
9602,,Tamagotchi!,8244,Like & Peace!,Dream5,1,,
11254,,Yuuki Yuuna wa Yuusha de Aru,8245,Aurora Days,Suzuko Mimori,2,,
8412,,Sakura Quest,8246,Freesia,(K)NoW_NAME:Ayaka Tachibana,2,,
5819,,Maburaho,8247,Koi no Mahou,ICHIKO,1,,
10526,,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",8248,Uchiage Hanabi,DAOKO×Kenshi Yonezu,2,,
283,,AKB0048 Next Stage,8249,Boku dake no Value,AKB48,3,,
1353,,CATMAN series III,8250,Never Going to Drink Again,The Planet Smashers,3,,
