,playerName,nbSongs,score,nbSoloPoints
664,Felix55,51,0,0.0
665,FellowWeeb6969,85,5,0.0
666,Ferdos,78,4,0.0
667,FernandoGT97,60,3,0.0
668,Fernandoalvs,2953,27,0.0
669,FernardFresh,161,4,0.0
670,FerrisGD,26,0,0.0
671,Fiiired,85,3,0.0
672,Fili7,42,0,0.0
673,Filia,1401,17,0.0
674,Filmmy,287,4,0.0
675,FinaIe,85,25,0.0
676,Finato,170,1,0.0
677,FireThief,85,0,0.0
678,FistyLord,246,3,0.0
679,FlamFilo,550,3,0.0
680,Flameztear,1183,7,0.0
681,Flaming,85,0,0.0
682,FlareBear,1749,14,0.0
683,Flarius,173,3,0.0
684,Flem,2548,26,0.0
685,FloridaJon,54,0,0.0
686,Flotorte,286,3,0.0
687,Flowcon,85,2,0.0
688,FluffyPanda,85,9,0.0
689,Flying_V,85,5,0.0
690,FogSound,1080,10,0.0
691,Frain_Breeze,85,1,0.0
692,FranSora,332,12,0.0
693,Francie,340,8,0.0
694,Freaks,128,0,0.0
695,Frederic94500,5729,24,0.0
696,Freesia,2840,35,0.0
697,Fres,2723,16,0.0
698,FriendlyGhost,54,0,0.0
699,Frogounet,332,7,0.0
700,Frost21,926,17,0.0
701,FrostBolt,82,17,0.0
702,Fuerted,129,3,0.0
703,Fuiya,41,1,0.0
704,FujimaSakura,605,41,0.0
705,Fukuda1,2510,6,0.0
706,Fumin99,6062,30,0.0
707,FumoMarisa,85,4,0.0
708,FunPlay642,3715,6,0.0
709,FungusTUH,66,2,0.0
710,Funkagi,52,1,0.0
711,Funkonoki,65,3,0.0
712,Furamun,72,11,0.0
713,Furudead,129,4,0.0
714,FuwaAika,2302,13,0.0
715,Fuyuki,85,10,0.0
716,Fuzzy_Snugs,4177,27,0.0
717,Fxxxxxxxxxxxxxxx,574,26,0.0
718,Fydyrbuf,84,8,0.0
719,FylyaBrush,33,2,0.0
720,GABRIELTR,85,0,0.0
721,GABjT,84,0,0.0
722,GAOOO,2251,22,0.0
723,GEND,85,1,0.0
724,GESH,85,22,0.0
725,GIRIGIRI,49,9,0.0
726,GODman,157,11,0.0
727,GRAW19,116,6,0.0
728,GabiiNakano,48,0,0.0
729,Gabriel_Boric,753,54,1.0
730,Gabs,329,15,0.0
731,Gabyzero,227,7,0.0
732,Gabzz,84,4,0.0
733,Gachiman,340,30,0.0
734,Galaxiio,67,0,0.0
735,Gall,85,1,0.0
736,Gallanextmon,84,3,0.0
737,Galvinor,684,9,0.0
738,GamingGhost,609,13,0.0
739,Gamma_120,26,0,0.0
740,Gandhi42,141,7,0.0
741,GarbageOpinions,838,16,0.0
742,Garifar,254,11,0.0
743,Gaspur,204,2,0.0
744,Gavenda,5379,18,0.0
745,Gecfai,83,0,0.0
746,GeneralMayo,425,7,0.0
747,Generalboss,84,0,0.0
748,Genius,431,26,0.0
749,Geoge_Whitfield,84,3,0.0
750,Geogeo,534,7,0.0
751,GeosatWasOnce,85,0,0.0
752,Germicide,3127,28,0.0
753,Ghoostyy,85,0,0.0
754,Ghostking,85,6,0.0
755,GhostsRSpooky,528,7,0.0
756,GhoulCherry,680,9,0.0
757,GiC,85,2,0.0
758,GideonSomnius,85,2,0.0
759,Giggl3s,85,0,0.0
760,Giming,161,0,0.0
761,Gimmicks,1001,30,0.0
762,GinGin,5187,26,0.0
763,GinWolker,59,0,0.0
764,GingFreecs,368,9,0.0
765,GingaBishounen,85,13,0.0
766,GinkoSimp,24,4,0.0
767,GintaMain,85,13,0.0
768,GintamaFag,84,8,0.0
769,Giraffe_Juice,85,1,0.0
770,Glass_of_Grass,3199,15,0.0
771,GlassySky1,170,0,0.0
772,Glick,680,4,0.0
773,GlitchedCloud,255,4,0.0
774,Globus712,262,1,0.0
775,GlostU,255,2,0.0
776,GlubGlub,96,1,0.0
777,Gnaxel,251,31,0.0
778,GnipNaij,1323,29,0.0
779,Goatonaspork,3484,29,0.0
780,GodLaharl,4807,20,0.0
781,GoddessKano,446,29,0.0
782,Gojiraph,58,6,0.0
783,Goko765,80,27,0.0
784,Goko8765,7518,39,1.0
785,GokuDoesNotSolo,85,0,0.0
786,GoldenWeed,84,1,0.0
787,Gomeses,76,0,0.0
788,GoodMorning,795,5,0.0
789,Goomba90,1935,35,0.0
790,GopnikKurisu,85,12,0.0
791,GoroShigenoSimp,1940,39,0.0
792,GorudenArcher,23,0,0.0
793,Goukisan,85,3,0.0
794,Gourf,85,1,0.0
795,GragasDu66,567,1,0.0
796,Grapheon,1166,28,0.0
797,GraxarTheUnholy,612,20,0.0
798,GreemBeans,85,2,0.0
799,GreenOwl,85,2,0.0
800,Greenshaw,85,3,0.0
